"Issue Type","Issue Key","Summary","Description","Priority","Story Points","Sprint","Epic Name","Epic Link","Status","Labels","Labels","Labels"
"Story","TEX-30","TEX-30 Directorio de clientes con aislamiento de cartera","Como Vendedor quiero gestionar mis clientes asignados para trabajar mi cartera sin exponer la de mis compañeros.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Vendedor, cuando consulto el directorio de clientes, entonces obtengo únicamente los clientes asignados a mi cartera, conforme a la regla de RF-03.
* CA-2: Dado un cliente de la cartera de otro vendedor, cuando solicito su ficha por identificador, entonces el sistema responde 404.
* CA-3: Dado mi rol de Administrador de Sede, cuando consulto el directorio, entonces obtengo todos los clientes de mi sede.

VERIFICACION

gestion/tests/test_cliente_sede_filtering.py — técnica EP.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-30 del Product Backlog de TexCore","High","5","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-31","TEX-31 Registro de pedidos de venta","Como Vendedor quiero registrar pedidos indicando productos y condiciones para formalizar la venta en el sistema.

CRITERIOS DE ACEPTACION

* CA-1: Dado un cliente de mi cartera, cuando registro un pedido con productos, cantidades y condiciones de pago, entonces se crea el pedido y se genera el comprobante de venta.
* CA-2: Dado un pedido sin líneas de detalle, cuando intento guardarlo, entonces el sistema lo rechaza.
* CA-3: Dado un pedido confirmado, cuando consulto el estado de cuenta del cliente, entonces refleja el nuevo saldo pendiente.

VERIFICACION

gestion/tests/test_catalog_views.py — técnicas EP, TD.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-31 del Product Backlog de TexCore","High","5","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-32","TEX-32 Validación automática de límite de crédito","Como gerente comercial quiero que el sistema bloquee pedidos que excedan el cupo del cliente para contener la exposición al riesgo de impago.

CRITERIOS DE ACEPTACION

* CA-1: Dado un cliente con cupo disponible suficiente, cuando se registra el pedido, entonces la validación lo aprueba y el pedido se confirma.
* CA-2: Dado un cliente cuyo saldo más el pedido excede su límite de crédito, cuando se intenta confirmar, entonces el sistema bloquea el pedido indicando el cupo disponible.
* CA-3: Dado un pedido que deja el saldo exactamente en el límite, cuando se confirma, entonces la operación se acepta, pues la condición de bloqueo es estrictamente mayor.
* CA-4: Dado un cliente sin límite de crédito configurado, cuando registra un pedido, entonces se aplica la política por defecto definida para la sede.

VERIFICACION

gestion/tests/test_catalog_views.py — técnicas BVA, TD.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-32 del Product Backlog de TexCore","High","8","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-33","TEX-33 Validación de precio mínimo de venta","Como gerente comercial quiero impedir que se venda por debajo del precio base para proteger el margen de la operación.

CRITERIOS DE ACEPTACION

* CA-1: Dado una línea de pedido con precio inferior al precio base del producto, cuando intento guardarla, entonces el sistema la rechaza, conforme a la regla de RF-03.
* CA-2: Dado una línea con precio exactamente igual al precio base, cuando la guardo, entonces la operación se acepta.

VERIFICACION

gestion/tests/test_serializers.py — técnica BVA.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-33 del Product Backlog de TexCore","High","3","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-34","TEX-34 Reconciliación de pagos con criterio FIFO","Como Vendedor quiero que los cobros se apliquen primero a las facturas más antiguas para que la antigüedad de cartera refleje la realidad.

CRITERIOS DE ACEPTACION

* CA-1: Dado un cliente con varias facturas pendientes, cuando registro un pago, entonces se aplica a las facturas en orden cronológico, de la más antigua a la más reciente.
* CA-2: Dado un pago que cubre parcialmente una factura, cuando se aplica, entonces la factura queda con saldo parcial y las posteriores intactas.
* CA-3: Dado un pago superior al total adeudado, cuando se aplica, entonces el excedente queda registrado como saldo a favor del cliente.

VERIFICACION

gestion/tests/test_pago_reversion.py — técnica STT.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-34 del Product Backlog de TexCore","High","8","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-35","TEX-35 Reversión auditada de pagos","Como Administrador de Sede quiero revertir un pago mal registrado para corregir la cartera dejando rastro del ajuste.

CRITERIOS DE ACEPTACION

* CA-1: Dado un pago aplicado a varias facturas, cuando lo revierto, entonces todas las facturas afectadas recuperan su saldo anterior en una única transacción.
* CA-2: Dado una reversión confirmada, cuando consulto la auditoría, entonces encuentro el registro con usuario, motivo y marca de tiempo.
* CA-3: Dado un pago ya revertido, cuando intento revertirlo de nuevo, entonces el sistema impide la operación.

VERIFICACION

gestion/tests/test_pago_reversion.py — técnica STT.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-35 del Product Backlog de TexCore","High","5","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-36","TEX-36 Estado de cuenta del cliente","Como Vendedor quiero consultar el estado de cuenta de un cliente para gestionar la cobranza con información fiable.

CRITERIOS DE ACEPTACION

* CA-1: Dado un cliente de mi cartera, cuando consulto su estado de cuenta, entonces obtengo facturas pendientes, pagos aplicados, saldo total y cupo disponible.
* CA-2: Dado un pago recién registrado, cuando vuelvo a consultar el estado de cuenta, entonces refleja el saldo actualizado sin necesidad de recalcular manualmente.

VERIFICACION

gestion/tests/test_catalog_views.py — técnica EP.

TRAZABILIDAD

Requisitos: RF-03
Referencia: TEX-36 del Product Backlog de TexCore","Medium","3","Sprint 5","","Comercial y Control de Crédito","To Do","EP-05","RF-03",""
"Story","TEX-37","TEX-37 Recetas de tintorería por fases","Como Tintorero quiero definir recetas organizadas en fases con sus insumos para estandarizar el proceso de teñido entre turnos.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Tintorero, cuando creo una fórmula con sus fases y el detalle de químicos de cada una, entonces se guarda de forma atómica con todos sus detalles anidados.
* CA-2: Dado una fórmula existente, cuando la duplico, entonces la copia incluye todas las fases y todos los insumos de la original.
* CA-3: Dado mi rol de Operario, cuando intento crear una fórmula, entonces el sistema responde 403.
* CA-4: Dado un listado de fórmulas, cuando filtro por estado, entonces obtengo únicamente las que se encuentran en ese estado.

VERIFICACION

gestion/tests/test_formula_views.py — técnicas EP, TD, CB-D.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-37 del Product Backlog de TexCore","High","8","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-01",""
"Story","TEX-38","TEX-38 Versionamiento de fórmulas de color","Como Tintorero quiero que las modificaciones generen una nueva versión para poder reproducir un color exactamente como se hizo en el pasado.

CRITERIOS DE ACEPTACION

* CA-1: Dado una fórmula ya utilizada en producción, cuando la modifico, entonces el sistema crea una nueva versión y conserva la anterior intacta.
* CA-2: Dado una orden de producción histórica, cuando consulto su fórmula, entonces obtengo la versión vigente en el momento de su ejecución, no la actual.

VERIFICACION

gestion/tests/test_formula_views.py — técnicas EP, STT.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-38 del Product Backlog de TexCore","High","5","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-01",""
"Story","TEX-39","TEX-39 Calculadora de dosificación asociada a la orden","Como Tintorero quiero que el sistema calcule los gramos exactos de cada químico según el peso del baño para eliminar los errores de cálculo manual.

CRITERIOS DE ACEPTACION

* CA-1: Dado una fórmula con insumos expresados en gramos por litro, cuando indico el volumen del baño, entonces el sistema calcula la cantidad exacta de cada químico.
* CA-2: Dado una fórmula con insumos expresados en porcentaje sobre peso, cuando indico el peso del material, entonces el sistema aplica la fórmula porcentual correspondiente.
* CA-3: Dado un insumo con unidad no reconocida, cuando se calcula la dosificación, entonces el sistema aplica el comportamiento de respaldo definido sin interrumpir el cálculo del resto.
* CA-4: Dado una dosificación menor o igual a cero, cuando se intenta registrar, entonces el serializador la rechaza.

VERIFICACION

gestion/tests/test_services_formula.py — técnicas EP, BVA, CB-D.

TRAZABILIDAD

Requisitos: RF-01
Referencia: TEX-39 del Product Backlog de TexCore","High","8","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-01",""
"Story","TEX-40","TEX-40 Descarga automática de químicos al inventario","Como Bodeguero quiero que el consumo de químicos de una orden se descuente solo para no registrar manualmente cada dosificación.

CRITERIOS DE ACEPTACION

* CA-1: Dado una orden con fórmula y bodega de químicos configuradas, cuando se crea la orden, entonces el sistema descarga del inventario los químicos calculados.
* CA-2: Dado una orden sin bodega de químicos configurada, cuando se crea, entonces el sistema informa la falta de configuración sin ejecutar descarga parcial.
* CA-3: Dado stock insuficiente de un químico, cuando se intenta la descarga, entonces la transacción completa se revierte.
* CA-4: Dado una descarga ejecutada, cuando consulto la auditoría, entonces encuentro el rastro completo de la operación.

VERIFICACION

gestion/tests/test_descarga_quimicos_validaciones.py, test_descarga_quimicos_stock_p0.py — técnicas EP, BVA, CB-D, STT.

TRAZABILIDAD

Requisitos: RF-02
Referencia: TEX-40 del Product Backlog de TexCore","High","5","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-02",""
"Story","TEX-41","TEX-41 Registro de pesaje en estación de empaquetado","Como personal de Empaquetado quiero registrar el pesaje del bulto descontando la tara para que el peso neto declarado sea exacto.

CRITERIOS DE ACEPTACION

* CA-1: Dado un lote a empacar, cuando registro el peso bruto y la tara del empaque, entonces el sistema calcula y almacena el peso neto.
* CA-2: Dado una tara mayor o igual al peso bruto, cuando intento registrarla, entonces el sistema rechaza la operación.
* CA-3: Dado el flujo completo de pesaje, cuando se cuentan las interacciones, entonces no supera los tres pasos, conforme a RNF-05.

VERIFICACION

gestion/tests/test_configuracion_empaque_sede.py — técnicas EP, BVA.

TRAZABILIDAD

Requisitos: RF-01, RNF-05
Referencia: TEX-41 del Product Backlog de TexCore","High","3","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-01","RNF-05"
"Story","TEX-42","TEX-42 Emisión de etiqueta ZPL para impresoras Zebra","Como personal de Empaquetado quiero imprimir la etiqueta del bulto con su código para que el lote sea identificable y escaneable en bodega.

CRITERIOS DE ACEPTACION

* CA-1: Dado un bulto pesado, cuando solicito su etiqueta, entonces el microservicio genera código ZPL con el código del lote, producto, peso neto y código de barras o QR.
* CA-2: Dado la petición de impresión, cuando llega al microservicio, entonces se autentica mediante JWT de servicio interno y rechaza peticiones sin token.
* CA-3: Dado que la impresora no responde, cuando se solicita la impresión, entonces el sistema informa el fallo sin perder el registro del bulto.

VERIFICACION

printing_service/tests, gestion/tests/test_production_views.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RF-01, RF-04
Referencia: TEX-42 del Product Backlog de TexCore","High","5","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RF-01","RF-04"
"Story","TEX-43","TEX-43 Equivalencias de empaque configurables por sede","Como Administrador de Sede quiero configurar las equivalencias de empaque de mi sede para que las conversiones respondan a la realidad de cada planta.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi sede, cuando configuro la equivalencia de hilos (baño, fundas, conos), entonces el sistema la aplica solo a las conversiones de mi sede.
* CA-2: Dado dos sedes con equivalencias distintas, cuando cada una realiza una conversión, entonces cada resultado emplea su propia configuración sin interferencia.
* CA-3: Dado una sede sin configuración propia, cuando se realiza una conversión, entonces el sistema informa la ausencia de configuración en lugar de aplicar una constante del sistema.

VERIFICACION

gestion/tests/test_configuracion_empaque_sede.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-43 del Product Backlog de TexCore","Medium","3","Sprint 6","","Tintorería y Empaquetado","To Do","EP-06","RNF-04",""
"Story","TEX-44","TEX-44 Microservicio de escaneo de códigos QR y de barras","Como personal de Despacho quiero validar cada lote escaneando su código para confirmar en segundos que corresponde al pedido correcto.

CRITERIOS DE ACEPTACION

* CA-1: Dado un lote perteneciente al pedido en curso, cuando escaneo su código QR o de barras, entonces el sistema lo valida como correcto.
* CA-2: Dado un lote que no pertenece al pedido del cliente, cuando lo escaneo, entonces el sistema lo rechaza indicando la discrepancia.
* CA-3: Dado cualquier escaneo, cuando se mide el tiempo entre la lectura y la respuesta, entonces es inferior a 2500 ms, conforme a la métrica de RNF-03.
* CA-4: Dado un código ilegible o inexistente, cuando se envía a validación, entonces el sistema responde con error controlado sin interrumpir la sesión.

VERIFICACION

scanning_service/tests — técnicas EP, BVA, CB-D.

TRAZABILIDAD

Requisitos: RF-04, RNF-03
Referencia: TEX-44 del Product Backlog de TexCore","High","8","Sprint 7","","Despacho y Dashboard Ejecutivo","To Do","EP-07","RF-04","RNF-03"
"Story","TEX-45","TEX-45 Despacho atómico con descarga de inventario","Como personal de Despacho quiero que el despacho se confirme por completo o no se confirme en absoluto para que nunca queden descargas parciales de inventario.

CRITERIOS DE ACEPTACION

* CA-1: Dado todos los lotes del pedido validados por escaneo, cuando confirmo el despacho, entonces el sistema descarga el inventario y genera la nota de despacho en una única transacción.
* CA-2: Dado un pedido con algún lote sin escanear, cuando intento confirmar el despacho, entonces el sistema lo impide, conforme a la regla de RF-04.
* CA-3: Dado un fallo en cualquier etapa (validación, descarga o generación de documentos), cuando ocurre, entonces toda la operación se revierte, sin descargas parciales ni notas incompletas.
* CA-4: Dado un despacho confirmado por error, cuando se revierte, entonces el inventario y el estado del pedido recuperan su situación previa en cascada.

VERIFICACION

inventory/tests/test_despacho_reversion.py — técnicas STT, CB-D.

TRAZABILIDAD

Requisitos: RF-04
Referencia: TEX-45 del Product Backlog de TexCore","High","8","Sprint 7","","Despacho y Dashboard Ejecutivo","To Do","EP-07","RF-04",""
"Story","TEX-46","TEX-46 Panel ejecutivo de indicadores","Como Ejecutivo quiero un tablero consolidado de producción, inventario y ventas para decidir sin depender de reportes manuales.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Ejecutivo, cuando abro el panel, entonces obtengo indicadores financieros, productivos y de inventario con sus gráficos.
* CA-2: Dado una operación registrada en planta, cuando recargo el panel, entonces los indicadores reflejan el dato actualizado, conforme a la regla de RF-05.
* CA-3: Dado un usuario sin rol ejecutivo, cuando intenta acceder al panel, entonces el sistema responde 403.
* CA-4: Dado el panel abierto en una resolución de escritorio, cuando se evalúa su presentación, entonces es responsivo y legible, conforme a la regla de RF-05.

VERIFICACION

gestion/tests/test_kpi_views.py, inventory/tests/test_executive_kpi_service.py — técnicas TD, EP, CB-D.

TRAZABILIDAD

Requisitos: RF-05
Referencia: TEX-46 del Product Backlog de TexCore","High","8","Sprint 7","","Despacho y Dashboard Ejecutivo","To Do","EP-07","RF-05",""
"Story","TEX-47","TEX-47 Microservicio de reportes en Excel","Como Ejecutivo quiero exportar los reportes a Excel para analizarlos y compartirlos fuera del sistema.

CRITERIOS DE ACEPTACION

* CA-1: Dado un reporte en pantalla, cuando solicito la exportación, entonces el microservicio genera un archivo Excel descargable con los mismos datos.
* CA-2: Dado la petición de exportación, cuando llega al microservicio, entonces se autentica por JWT de servicio interno.
* CA-3: Dado que el microservicio no está disponible, cuando se solicita una exportación, entonces el sistema informa el fallo sin afectar el resto del panel.

VERIFICACION

reporting_excel/tests — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RF-05, RNF-04
Referencia: TEX-47 del Product Backlog de TexCore","High","5","Sprint 7","","Despacho y Dashboard Ejecutivo","To Do","EP-07","RF-05","RNF-04"
"Story","TEX-48","TEX-48 Drill-down sobre los indicadores","Como Ejecutivo quiero abrir el detalle tras un indicador para entender qué compone la cifra antes de decidir.

CRITERIOS DE ACEPTACION

* CA-1: Dado un indicador del panel, cuando lo selecciono, entonces se abre el detalle de los registros que lo componen.
* CA-2: Dado el detalle abierto, cuando filtro por sede, período o área, entonces la cifra se recalcula de forma consistente con el filtro aplicado.

VERIFICACION

gestion/tests/test_kpi_views.py — técnicas EP, TD.

TRAZABILIDAD

Requisitos: RF-05
Referencia: TEX-48 del Product Backlog de TexCore","Medium","5","Sprint 7","","Despacho y Dashboard Ejecutivo","To Do","EP-07","RF-05",""
"Story","TEX-49","TEX-49 Panel de Administrador de Sistemas","Como Administrador de Sistemas quiero administrar usuarios, sedes y áreas para operar el sistema sin depender del equipo de desarrollo.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Administrador de Sistemas, cuando accedo al panel, entonces puedo crear, editar y desactivar usuarios asignándoles rol y sede.
* CA-2: Dado el arranque inicial del sistema, cuando ejecuto la siembra de datos maestros, entonces se crean los grupos de permisos y la cuenta administradora, sin precrear sedes ni áreas ficticias.
* CA-3: Dado mi rol de Administrador de Sistemas, cuando creo una sede y sus áreas, entonces quedan disponibles para asignación de usuarios.

VERIFICACION

gestion/tests/test_catalog_views.py — técnicas TD, EP.

TRAZABILIDAD

Requisitos: RNF-02
Referencia: TEX-49 del Product Backlog de TexCore","High","8","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-02",""
"Story","TEX-50","TEX-50 Panel de Administrador de Sede","Como Administrador de Sede quiero gestionar los usuarios y catálogos de mi sede para mantener mis datos maestros sin alcance sobre otras plantas.

CRITERIOS DE ACEPTACION

* CA-1: Dado mi rol de Administrador de Sede, cuando gestiono usuarios, entonces solo puedo actuar sobre los de mi propia sede.
* CA-2: Dado un intento de acceder a datos de otra sede, cuando se procesa la petición, entonces el sistema responde 403 o 404 según corresponda.

VERIFICACION

inventory/tests/test_roles_rbac.py — técnica TD.

TRAZABILIDAD

Requisitos: RNF-02
Referencia: TEX-50 del Product Backlog de TexCore","High","5","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-02",""
"Story","TEX-51","TEX-51 Gestión de catálogos maestros","Como Administrador de Sede quiero mantener los catálogos de productos, químicos y proveedores para que la operación disponga de datos actualizados.

CRITERIOS DE ACEPTACION

* CA-1: Dado el catálogo de productos, cuando creo o edito un registro, entonces se guarda con su tipo, unidad de medida y precio base.
* CA-2: Dado un nombre con acentos o caracteres alfanuméricos válidos, cuando lo registro, entonces el sistema lo acepta.
* CA-3: Dado mi rol de Vendedor, cuando consulto el catálogo, entonces obtengo la vista restringida que me corresponde.

VERIFICACION

gestion/tests/test_catalog_views.py, test_serializers.py — técnicas EP, TD, BVA.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-51 del Product Backlog de TexCore","High","5","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-04",""
"Story","TEX-52","TEX-52 Consulta del registro de auditoría","Como Administrador de Sede quiero consultar el histórico de auditoría para investigar cualquier operación registrada.

CRITERIOS DE ACEPTACION

* CA-1: Dado el panel de auditoría, cuando filtro por usuario, fecha o tipo de operación, entonces obtengo los registros coincidentes con su detalle completo.
* CA-2: Dado mi rol de Administrador de Sede, cuando consulto la auditoría, entonces obtengo únicamente los registros de mi sede.

VERIFICACION

gestion/tests/test_audit_middleware.py — técnicas EP, CB-D.

TRAZABILIDAD

Requisitos: RNF-01
Referencia: TEX-52 del Product Backlog de TexCore","High","5","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-01",""
"Story","TEX-53","TEX-53 Persistencia del estado de navegación en la URL","Como usuario del sistema quiero que la vista en que estoy quede reflejada en la dirección para recargar o compartir sin perder el contexto.

CRITERIOS DE ACEPTACION

* CA-1: Dado una vista con filtros aplicados, cuando recargo la página, entonces se restauran la pestaña activa y los filtros.
* CA-2: Dado una vista concreta, cuando comparto su dirección con otro usuario autorizado, entonces accede directamente a esa misma vista.

VERIFICACION

frontend/src/components/*/.test.tsx — técnica EP.

TRAZABILIDAD

Requisitos: RNF-05
Referencia: TEX-53 del Product Backlog de TexCore","Medium","5","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-05",""
"Story","TEX-54","TEX-54 Congelamiento de código y despliegue en staging","Como responsable del proyecto quiero congelar el código y validarlo en staging para iniciar la fase de preproducción sobre una base estable.

CRITERIOS DE ACEPTACION

* CA-1: Dado el cierre del Sprint 8, cuando se aplica el congelamiento, entonces solo se admiten correcciones de defectos, sin nuevas funcionalidades.
* CA-2: Dado el código congelado, cuando se despliega en staging, entonces el sistema completo opera con la suite en verde y la cobertura sobre el umbral exigido.
* CA-3: Dado un despliegue con incidencias, cuando se decide revertir, entonces la reversión a la versión anterior se ejecuta en un solo paso.

VERIFICACION

Pipeline de CI/CD y scripts/run_backend_tests.sh.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-54 del Product Backlog de TexCore","High","3","Sprint 8","","Administración y Code Freeze","To Do","EP-08","RNF-04",""
